Донор,0,Наименование,гос орган,Охват проекта,Период реализации,Статус,Сумма,Сфера
AFACI,1,1,1,1,1,1,1,1
GIZ,4,14,14,14,13,14,14,14
JICA,7,9,9,9,9,9,9,9
JICA и ФАО,1,1,1,1,1,1,1,1
KOICA,5,8,8,8,8,8,8,8
LEICA,0,1,1,1,1,1,1,1
PEPFAR,1,1,1,1,1,1,1,1
АБР,0,3,3,3,3,3,3,3
Азиатская Органиация по сотрудничеству в лесном секторе (AFoCO) Республика Корея,0,1,1,1,1,1,1,1
ВБ,0,1,1,1,1,1,1,1
ВПП ООН,1,4,4,4,4,4,4,4
"ВПП ООН, Правительство Швейцарии",0,1,1,1,1,1,1,1
Верховный суд КНР,0,1,1,1,1,1,1,1
ГАВИ,1,1,1,1,1,1,1,1
ГФ/ПРООН,1,2,2,2,2,2,2,2
ГЭФ,1,1,1,1,1,1,1,1
ГЭФ ФАО,1,1,1,1,1,1,1,1
ГЭФ ЮНЕП,1,1,1,1,1,1,1,1
"Госкомпания КНР ""СEIEC""",1,1,1,1,1,1,1,1
Донор,6,6,6,6,6,6,6,6
ЕАБР,0,1,1,1,1,1,1,1
ЕБРР,0,5,5,5,5,5,5,5
ЕС,6,14,14,14,14,14,13,14
ЕФСР,0,1,1,1,1,1,1,1
ЕЭК ООН,1,1,1,1,1,1,1,1
ЗКФ,0,1,1,1,1,1,1,1
ИРГА/CDIA,0,1,1,1,1,1,1,1
КИПА - Республика Корея,0,1,1,1,1,1,1,1
КНР,0,2,2,2,2,2,2,2
Консульство КНР в г.Ош,1,1,1,1,1,1,1,1
МАГАТЭ,0,1,1,1,1,1,1,1
МАР,1,1,1,1,1,1,1,1
МАР и МБРР,1,1,1,1,1,1,1,1
"МАР и МБРР, ""Всемирный банк""",1,1,1,1,0,1,1,1
МВД Турецкой Республики,0,1,1,1,1,1,1,1
МИД КНР,0,1,1,1,1,1,1,1
МИД Норвегии,1,1,1,1,1,1,1,1
МККК,1,7,7,7,7,7,7,7
МОБ КНР,1,1,1,1,1,1,1,1
МОМ,0,1,1,1,1,1,1,1
МОТ,1,5,5,5,5,5,5,5
"Медицинский факультет Йельского университета, программа СПИД",0,1,1,1,1,1,1,1
Министерство энергетики США,1,1,1,1,1,1,1,1
Минкультуры Республики Корея,0,1,1,1,1,1,1,1
Минобраз Республики Корея,0,1,1,1,1,1,1,1
НАРО Япония,1,1,1,1,1,1,1,1
"Немецкое объединение народных университетов, зарегистрированнное объединение в КР (DVV International)",0,2,2,2,2,2,2,2
ОБСЕ,8,28,28,28,28,28,28,28
"ОБСЕ, ВТамО",0,1,1,1,1,1,1,1
ПРООН,4,5,5,5,5,5,5,5
ПРООН и СОООН-ДФИД,1,1,1,0,1,1,1,1
"ПРООН, Правительство Японии",0,1,1,1,1,1,1,1
ПРООН-ГЭФ,2,2,2,2,2,2,2,2
Посольство КНР,0,7,7,7,7,7,7,7
Посольство Кореи,0,2,2,2,2,2,2,2
Посольство США,1,2,2,2,2,2,2,2
Посольство США и ЕС,1,1,1,1,1,1,1,1
Правительство КНР,3,6,6,6,6,6,6,6
Правительство РФ,5,13,13,13,13,13,13,13
Правительство РФ УНП ООН,0,1,1,1,1,1,1,1
"Правительство РФ, ЮНФПА",1,1,1,1,1,1,1,1
Правительство США,0,1,1,1,1,1,1,1
Правительство ФРГ (BMZ),3,4,4,4,4,4,4,4
"Правительство ФРГ (BMZ), UNICEF",1,1,1,1,1,1,1,1
Правительство Финляндии,2,4,4,4,4,4,4,4
Правительство Японии,3,3,3,3,3,3,3,3
"Представительство Объединения «Немецкое Объединение Народных Университетов, зарегистрированное объединение» в Кыргызской Республике (DVV International)",0,2,2,2,2,2,2,2
Республики Корея (КОСТАТ),0,1,1,1,1,1,1,1
Сорос-Кыргызстан,0,2,2,2,2,2,2,2
ТИКА,2,3,3,3,3,3,3,3
УНП ООН,5,10,10,10,10,10,10,10
"УНП ООН, ВТамО",1,1,1,1,1,1,1,1
"УНП ООН, ФМС",1,1,1,1,1,1,1,1
ФАО,1,2,2,2,2,2,2,2
ФАО ООН,2,3,3,3,3,3,3,3
ФАО ООН JICA,0,1,1,1,1,1,1,1
ФАО и ГЭФ,1,1,1,1,1,1,1,1
Физико – Технический институт Германии (РТВ),0,1,1,1,1,1,1,1
Финский метеорологический институт,0,1,1,1,1,1,1,1
Фонд имени К.Аденауэра,0,1,1,1,1,1,1,1
Центр по контролю за заболеваниями (СДС) США,1,1,1,1,1,1,1,1
Центры по контролю и профилактике заболеваний США,1,1,1,1,1,1,1,1
ШАРС,5,5,5,5,5,5,5,5
Швейцарское агентство по развитию и сотрудничеству (SDC),0,2,2,2,2,2,2,2
Швейцарское агентство по развитию и сотрудничеству (SDC) (МИД Швейцарии),0,1,1,1,1,1,1,1
ЮНЕП-ГЭФ,2,2,2,2,2,2,2,2
ЮНИДО,0,1,1,1,1,1,1,1
ЮНИСЕФ,1,2,2,2,2,2,2,2
ЮНИСЕФ ЮНФПА,0,1,1,1,1,1,1,1
ЮНКТАД,0,1,1,1,1,1,1,1
ЮНЭЙДС,1,1,1,1,1,1,1,1
ЮСАИД,6,13,13,13,12,13,13,13
